"key","en","zh","app","level","soon","href","path"
"dashboards","Dashboards","仪表盘","Dashboards","1","false","",""
"dashboard","Operations Dashboard","运营首页","Dashboards","2","false","/","Dashboards"
"public_profile","Public Profile","个人资料","Public Profile","1","false","",""
"public_profile_overview","Overview","资料概览","Public Profile","2","false","/public-profile","Public Profile"
"public_profile_projects","Projects","项目","Public Profile","2","false","","Public Profile"
"public_profile_projects_2_columns","2 Columns","两栏项目","Public Profile","3","false","/public-profile/projects/2-columns","Public Profile / Projects"
"public_profile_projects_3_columns","3 Columns","三栏项目","Public Profile","3","false","/public-profile/projects/3-columns","Public Profile / Projects"
"public_profile_activity","Activity","活动","Public Profile","2","false","/public-profile/activity","Public Profile"
"public_profile_teams","Teams","团队","Public Profile","2","false","/public-profile/teams","Public Profile"
"public_profile_variants","Profile Variants","资料变体","Public Profile","2","false","","Public Profile"
"public_profile_default","Default Profile","默认资料","Public Profile","3","false","/public-profile/profiles/default","Public Profile / Profile Variants"
"public_profile_company","Company Profile","企业资料","Public Profile","3","false","/public-profile/profiles/company","Public Profile / Profile Variants"
"public_profile_gamer","Gamer Profile","玩家资料","Public Profile","3","false","/public-profile/profiles/gamer","Public Profile / Profile Variants"
"account","Account","我的账户","Account","1","false","",""
"account_home","Account Home","账户首页","Account","2","false","","Account"
"account_get_started","Get Started","开始使用","Account","3","false","/account/home/get-started","Account / Account Home"
"account_user_profile","User Profile","用户资料","Account","3","false","/account/home/user-profile","Account / Account Home"
"account_company_profile","Company Profile","公司资料","Account","3","false","/account/home/company-profile","Account / Account Home"
"account_settings","Settings","账户设置","Account","2","false","","Account"
"account_settings_profile","Account Settings","账户设置","Account","3","false","/settings/account","Account / Settings"
"account_settings_plain","Settings - Plain","纯净设置","Account","3","false","/account/home/settings-plain","Account / Settings"
"account_settings_sidebar","Settings - Sidebar","侧边栏设置","Account","3","false","/account/home/settings-sidebar","Account / Settings"
"account_settings_enterprise","Settings - Enterprise","企业设置","Account","3","false","/account/home/settings-enterprise","Account / Settings"
"account_appearance","Appearance","外观","Account","3","false","/account/appearance","Account / Settings"
"account_notifications","Notifications","通知设置","Account","3","false","/account/notifications","Account / Settings"
"account_integrations","Integrations","集成","Account","3","false","/account/integrations","Account / Settings"
"account_api_keys","API Keys","API 密钥","Account","3","false","/account/api-keys","Account / Settings"
"account_billing","Billing","账单","Account","2","false","","Account"
"billing_plans","Plans","套餐方案","Account","3","false","/billing_plans","Account / Billing"
"billing_invoices","Billing History","账单历史","Account","3","false","/billing_invoices","Account / Billing"
"billing_subscriptions","Subscriptions","订阅","Account","3","false","/billing_subscriptions","Account / Billing"
"account_members","Members","成员","Account","2","false","","Account"
"account_members_starter","Members Starter","成员入门","Account","3","false","/account/members/members-starter","Account / Members"
"account_team_members","Team Members","团队成员","Account","3","false","/account/members/team-members","Account / Members"
"account_import_members","Import Members","导入成员","Account","3","false","/account/members/import-members","Account / Members"
"account_security","Security","安全","Account","2","false","","Account"
"account_security_log","Security Log","安全日志","Account","3","false","/account/security/security-log","Account / Security"
"account_security_sessions","Sessions","当前会话","Account","3","false","/security_sessions","Account / Security"
"account_security_devices","Devices","设备管理","Account","3","false","/security_devices","Account / Security"
"account_security_ips","Allowed IPs","允许的 IP","Account","3","false","/security_allowed_ips","Account / Security"
"account_referrals","Invite a Friend","邀请好友","Account","2","false","/referral_invites","Account"
"network","Network","团队网络","Network","1","false","",""
"network_user_cards","User Cards","用户卡片","Network","2","false","","Network"
"network_user_cards_nft","NFT Cards","NFT 卡片","Network","3","false","/network/user-cards/nft","Network / User Cards"
"network_user_table","User Table","用户表格","Network","2","false","","Network"
"network_team_crew","Team Crew","团队成员表","Network","3","false","/network/user-table/team-crew","Network / User Table"
"auth_security","Auth & Security","系统页面","Auth & Security","1","false","",""
"auth_flow","Authentication Flow","登录流程","Auth & Security","2","false","","Auth & Security"
"auth_login","Sign In","登录页","Auth & Security","3","false","/login","Auth & Security / Authentication Flow"
"auth_register","Sign Up","注册页","Auth & Security","3","false","/register","Auth & Security / Authentication Flow"
"auth_forgot_password","Forgot Password","找回密码","Auth & Security","3","false","/forgot-password","Auth & Security / Authentication Flow"
"auth_update_password","Reset Password","重置密码","Auth & Security","3","false","/update-password","Auth & Security / Authentication Flow"
"auth_2fa","Two-Factor Auth","两步验证","Auth & Security","2","false","/authentication/branded/2fa","Auth & Security"
"error_pages","Error Pages","错误页面","Auth & Security","2","false","","Auth & Security"
"error_404","Error 404","404 页面","Auth & Security","3","false","/404","Auth & Security / Error Pages"
"error_500","Error 500","500 页面","Auth & Security","3","false","/500","Auth & Security / Error Pages"
"apps","Apps","应用","Apps","1","false","",""
"app_inventory","Inventory","库存中心","Apps","2","false","","Apps"
"app_inventory_dashboard","Inventory Dashboard","库存驾驶舱","Apps","3","false","/inventory-dashboard","Apps / Inventory"
"app_inventory_catalog","Catalog","目录资料","Apps","3","false","","Apps / Inventory"
"products","Products","商品档案","Apps","4","false","/products","Apps / Inventory / Catalog"
"skus","SKU Management","SKU 管理","Apps","4","false","/skus","Apps / Inventory / Catalog"
"categories","Categories","品类管理","Apps","4","false","/categories","Apps / Inventory / Catalog"
"suppliers","Suppliers","供应商","Apps","3","false","/suppliers","Apps / Inventory"
"warehouses","Warehouses","仓库","Apps","3","false","/warehouses","Apps / Inventory"
"app_inventory_customer","Customer","客户","Apps","3","false","/sales_orders?view=customers","Apps / Inventory"
"app_inventory_settings","Inventory Settings","库存设置","Apps","3","false","/reorder_rules?view=settings","Apps / Inventory"
"app_operations","Operations","运营作业","Apps","2","false","","Apps"
"stock_movements","Stock Movements","库存流水","Apps","3","false","/stock_movements","Apps / Operations"
"stock_transfers","Stock Transfers","库存调拨","Apps","3","false","/stock_transfers","Apps / Operations"
"cycle_counts","Cycle Counts","循环盘点","Apps","3","false","/cycle_counts","Apps / Operations"
"inventory_adjustments","Inventory Adjustments","库存调整","Apps","3","false","/inventory_adjustments","Apps / Operations"
"reorder_rules","Reorder Rules","补货规则","Apps","3","false","/reorder_rules","Apps / Operations"
"purchase_orders","Purchase Orders","采购订单","Apps","3","false","/purchase_orders","Apps / Operations"
"sales_orders","Sales Orders","销售订单","Apps","3","false","/sales_orders","Apps / Operations"
"app_organization","User Management","用户管理","Apps","2","false","","Apps"
"users","Users","用户","Apps","3","false","/users","Apps / User Management"
"roles","Roles","角色","Apps","3","false","/roles?sort=name&order=asc","Apps / User Management"
"permissions","Permissions","权限","Apps","3","false","/permissions","Apps / User Management"
"user_accounts","User Accounts","用户账户","Apps","3","false","/user_accounts","Apps / User Management"
"user_logs","Logs","日志","Apps","3","false","/user_logs","Apps / User Management"
"user_settings","User Policies","用户策略","Apps","3","false","/user_settings","Apps / User Management"
"app_planning","Planning","计划日程","Apps","2","false","","Apps"
